date,total_purchases
2022-09-29,4
2022-09-30,49
2022-10-01,58
2022-10-02,44
2022-10-03,31
2022-10-04,33
2022-10-05,47
2022-10-06,47
2022-10-07,39
2022-10-08,42
2022-10-09,42
2022-10-10,46
2022-10-11,41
2022-10-12,54
2022-10-13,54
2022-10-14,55
2022-10-15,34
2022-10-16,38
2022-10-17,48
2022-10-18,36
2022-10-19,29
2022-10-20,52
2022-10-21,41
2022-10-22,41
2022-10-23,68
2022-10-24,38
2022-10-25,50
2022-10-26,52
2022-10-27,46
2022-10-28,49
2022-10-29,39
2022-10-30,55
2022-10-31,51
2022-11-01,43
2022-11-02,48
2022-11-03,45
2022-11-04,45
2022-11-05,43
2022-11-06,44
2022-11-07,35
2022-11-08,46
2022-11-09,53
2022-11-10,39
2022-11-11,48
2022-11-12,49
2022-11-13,60
2022-11-14,46
2022-11-15,48
2022-11-16,43
2022-11-17,31
2022-11-18,54
2022-11-19,40
2022-11-20,38
2022-11-21,49
2022-11-22,59
2022-11-23,49
2022-11-24,43
2022-11-25,40
2022-11-26,44
2022-11-27,52
2022-11-28,56
2022-11-29,39
2022-11-30,46
2022-12-01,36
2022-12-02,61
2022-12-03,44
2022-12-04,52
2022-12-05,52
2022-12-06,44
2022-12-07,55
2022-12-08,42
2022-12-09,51
2022-12-10,52
2022-12-11,50
2022-12-12,49
2022-12-13,41
2022-12-14,39
2022-12-15,36
2022-12-16,33
2022-12-17,55
2022-12-18,42
2022-12-19,51
2022-12-20,52
2022-12-21,42
2022-12-22,52
2022-12-23,43
2022-12-24,41
2022-12-25,42
2022-12-26,40
2022-12-27,52
2022-12-28,47
2022-12-29,47
2022-12-30,49
2022-12-31,50
2023-01-01,45
2023-01-02,47
2023-01-03,36
2023-01-04,49
2023-01-05,43
2023-01-06,57
2023-01-07,50
2023-01-08,45
2023-01-09,52
2023-01-10,33
2023-01-11,43
2023-01-12,39
2023-01-13,50
2023-01-14,47
2023-01-15,58
2023-01-16,40
2023-01-17,44
2023-01-18,40
2023-01-19,50
2023-01-20,37
2023-01-21,56
2023-01-22,59
2023-01-23,41
2023-01-24,50
2023-01-25,40
2023-01-26,44
2023-01-27,47
2023-01-28,43
2023-01-29,47
2023-01-30,44
2023-01-31,45
2023-02-01,58
2023-02-02,44
2023-02-03,40
2023-02-04,56
2023-02-05,44
2023-02-06,57
2023-02-07,27
2023-02-08,50
2023-02-09,54
2023-02-10,62
2023-02-11,51
2023-02-12,49
2023-02-13,44
2023-02-14,37
2023-02-15,41
2023-02-16,34
2023-02-17,35
2023-02-18,39
2023-02-19,41
2023-02-20,35
2023-02-21,36
2023-02-22,41
2023-02-23,58
2023-02-24,55
2023-02-25,47
2023-02-26,44
2023-02-27,51
2023-02-28,38
2023-03-01,50
2023-03-02,45
2023-03-03,40
2023-03-04,52
2023-03-05,51
